dataset,tau,sigma,gamma,clean_acc,clean_f1,clean_precision,clean_recall,attack_acc,attack_f1,attack_precision,attack_recall,asr,rounds,timestamp
cifar10,1.0,0.05,0.8,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:45:42
cifar10,1.0,0.05,0.95,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:45:43
cifar10,1.0,0.05,0.99,0.7531,0.7521799627392883,0.7790875181091129,0.7531,0.002,0.0016140090873489367,0.00171646473851743,0.002,0.998,2,2025-10-18 12:45:42
cifar10,1.0,0.01,0.8,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:45:58
cifar10,1.0,0.01,0.95,0.6362,0.6482498330210297,0.738170088520515,0.6362000000000001,0.0072,0.00278468267054651,0.0018073081957361594,0.0072,0.9928,2,2025-10-18 12:45:58
cifar10,1.0,0.01,0.99,0.7675,0.7664282675867397,0.7710172212703543,0.7675,0.0122,0.009420941402688357,0.0077052543033340444,0.012199999999999999,0.9878,2,2025-10-18 12:45:58
cifar10,1.0,0.1,0.8,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:45:55
cifar10,1.0,0.1,0.95,0.771,0.7692498180997224,0.7758255907639569,0.771,0.0011,0.0011225058186509662,0.0011862365750587539,0.0011,0.9989,2,2025-10-18 12:45:55
cifar10,2.0,0.05,0.99,0.7466,0.7453474254537353,0.7549759948327347,0.7466,0.0009,0.0007728392115788011,0.0007785420780303041,0.0009000000000000001,0.9991,2,2025-10-18 12:48:38
cifar10,1.0,0.1,0.99,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:48:57
cifar10,2.0,0.01,0.8,0.7557,0.7569775508350126,0.7761422377414018,0.7556999999999999,0.003,0.002722299329140246,0.0027822919617418304,0.003,0.997,2,2025-10-18 12:48:59
cifar10,2.0,0.01,0.95,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:48:56
cifar10,2.0,0.01,0.99,0.7467,0.7457122802035301,0.7587859808043319,0.7467,0.0019,0.0017467753389197207,0.001645793984932586,0.0018999999999999996,0.9981,2,2025-10-18 12:49:01
cifar10,2.0,0.05,0.95,0.7699,0.7727952513064108,0.7827508761052985,0.7699,0.0026,0.0032808974873561316,0.004631078665623207,0.0026,0.9974,2,2025-10-18 12:49:04
cifar10,2.0,0.05,0.8,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:49:07
cifar10,2.0,0.1,0.8,0.1,0.01818181818181818,0.01,0.1,0.1,0.01818181818181818,0.01,0.1,0.9,2,2025-10-18 12:49:07
cifar10,2.0,0.1,0.95,0.7144,0.7136559965266303,0.7520895336215796,0.7143999999999999,0.0029,0.0015076630307408786,0.0010704537762569516,0.0029000000000000002,0.9971,2,2025-10-18 12:51:12
cifar10,2.0,0.1,0.99,0.7353,0.7327108345941536,0.7520349250854889,0.7353,0.0012,0.0009746396326148137,0.0008967198233021499,0.0012000000000000001,0.9988,2,2025-10-18 12:51:40
